,Date,Tickers,Currency,Amount,Amount_euro
279,2018-06-27,ISF,GBP,16.49,18.5
280,2018-09-26,ISF,GBP,27.03,30.3
281,2018-12-28,ISF,GBP,26.36,29.6
282,2018-01-11,PM,USD,37.45,31.8
283,2018-01-12,O,USD,10.62,9.0
284,2018-02-01,POT,USD,3.2,2.7
285,2018-02-01,T,USD,100.0,84.9
286,2018-02-06,BND,USD,1.77,1.5
287,2018-02-15,O,USD,10.95,9.3
288,2018-03-02,HCP,USD,48.47,41.1
289,2018-03-06,BND,USD,1.65,1.4
290,2018-03-12,CVX,USD,43.68,37.1
291,2018-03-15,MCD,USD,5.05,4.3
292,2018-03-15,O,USD,10.95,9.3
293,2018-04-02,KO,USD,5.07,4.3
294,2018-04-05,BND,USD,1.81,1.5
295,2018-04-05,BND,USD,0.19,0.2
296,2018-04-11,PM,USD,37.45,31.8
297,2018-04-13,O,USD,10.98,9.3
298,2018-04-20,NTR,USD,4.8,4.1
299,2018-05-01,T,USD,100.0,84.9
300,2018-05-04,BND,USD,1.78,1.5
301,2018-05-15,O,USD,10.97,9.3
302,2018-05-15,PG,USD,10.76,9.1
303,2018-05-22,HCP,USD,48.47,41.1
304,2018-06-06,BND,USD,1.85,1.6
305,2018-06-11,CVX,USD,43.68,37.1
306,2018-06-15,O,USD,10.97,9.3
307,2018-06-18,MCD,USD,5.05,4.3
308,2018-07-02,KO,USD,5.07,4.3
309,2018-07-06,BND,USD,1.81,1.5
310,2018-07-11,PM,USD,45.6,38.7
311,2018-07-13,O,USD,11.0,9.3
312,2018-07-18,NTR,USD,4.8,4.1
313,2018-08-01,T,USD,112.5,95.5
314,2018-08-06,BND,USD,1.87,1.6
315,2018-08-15,O,USD,11.0,9.3
316,2018-08-15,PG,USD,32.27,27.4
317,2018-08-21,HCP,USD,48.47,41.1
318,2018-09-06,BND,USD,1.88,1.6
319,2018-09-10,CVX,USD,43.68,37.1
320,2018-09-11,JNJ,USD,4.5,3.8
321,2018-09-14,O,USD,11.0,9.3
322,2018-09-18,MCD,USD,5.05,4.3
323,2018-10-01,KO,USD,5.07,4.3
324,2018-10-12,PM,USD,72.96,61.9
325,2018-10-15,O,USD,11.02,9.4
326,2018-11-01,T,USD,120.0,101.9
327,2018-11-15,O,USD,11.03,9.4
328,2018-11-15,PG,USD,32.27,27.4
329,2018-11-20,HCP,USD,48.47,41.1
330,2018-12-10,CVX,USD,43.68,37.1
331,2018-12-11,JNJ,USD,4.5,3.8
332,2018-12-14,KO,USD,5.07,4.3
333,2018-12-14,O,USD,11.02,9.4
334,2018-12-17,MCD,USD,5.8,4.9
335,2019-01-08,REE,EUR,204.53,204.5
336,2019-02-01,SAN,EUR,139.23,139.2
337,2019-02-05,IBE,EUR,6.04,6.0
338,2019-02-18,ACS,EUR,10.35,10.4
339,2019-03-20,UNA,EUR,11.61,11.6
340,2019-05-02,SAN,EUR,139.23,139.2
341,2019-05-08,BAS,EUR,272.0,272.0
342,2019-05-10,BME,EUR,199.5,199.5
343,2019-05-27,DAI,EUR,406.25,406.2
344,2019-06-05,UNA,EUR,12.32,12.3
345,2019-06-20,TEF,EUR,200.4,200.4
346,2019-06-25,MAP,EUR,342.8,342.8
347,2019-07-01,REE,EUR,532.8,532.8
348,2019-07-03,ENG,EUR,390.15,390.2
349,2019-07-18,ACS,EUR,2.9,2.9
350,2019-07-29,IBE,EUR,311.6,311.6
351,2019-09-11,UNA,EUR,12.32,12.3
352,2019-09-13,BME,EUR,140.0,140.0
353,2019-11-01,SAN,EUR,214.2,214.2
354,2019-12-04,UNA,EUR,12.32,12.3
355,2019-12-19,TEF,EUR,200.39,200.4
356,2019-12-23,ENG,EUR,272.0,272.0
357,2019-12-23,MAP,EUR,242.39,242.4
358,2019-12-30,BME,EUR,210.0,210.0
359,2019-03-27,ISF,GBP,32.75,37.5
360,2019-06-26,ISF,GBP,48.58,55.7
361,2019-09-25,ISF,GBP,43.75,50.1
362,2019-12-27,ISF,GBP,36.42,41.7
363,2019-01-11,PM,USD,72.96,65.1
364,2019-01-15,O,USD,11.05,9.9
365,2019-02-01,T,USD,127.5,113.8
366,2019-02-15,O,USD,11.28,10.1
367,2019-02-15,PG,USD,32.27,28.8
368,2019-02-28,HCP,USD,48.47,43.3
369,2019-03-11,CVX,USD,46.41,41.4
370,2019-03-12,JNJ,USD,4.5,4.0
371,2019-03-15,MCD,USD,5.8,5.2
372,2019-03-15,O,USD,11.28,10.1
373,2019-04-01,KO,USD,5.2,4.6
374,2019-04-11,PM,USD,85.5,76.3
375,2019-04-15,O,USD,11.3,10.1
376,2019-05-01,T,USD,127.5,113.8
377,2019-05-15,O,USD,11.3,10.1
378,2019-05-15,PG,USD,33.57,30.0
379,2019-05-21,HCP,USD,48.47,43.3
380,2019-06-10,CVX,USD,46.41,41.4
381,2019-06-11,JNJ,USD,4.75,4.2
382,2019-06-14,O,USD,11.3,10.1
383,2019-06-17,MCD,USD,5.8,5.2
384,2019-07-01,KO,USD,5.2,4.6
385,2019-07-10,PM,USD,85.5,76.3
386,2019-07-15,O,USD,10.65,9.5
387,2019-07-15,O,USD,0.68,0.6
388,2019-08-01,T,USD,127.5,113.8
389,2019-08-15,O,USD,0.91,0.8
390,2019-08-15,O,USD,10.42,9.3
391,2019-08-15,PG,USD,33.57,30.0
